ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
E58WHHER,Male,41,RG266,Self_Employed,X4,14,No,228187,Yes,0
3EZ9VENT,Male,40,RG260,Self_Employed,X3,20,No,403899,No,0
ENKVYPSK,Female,26,RG270,Salaried,X1,14,No,300971,No,0
R25YTVSB,Female,27,RG269,Salaried,X1,32,No,1188692,No,0
KKJM7YSI,Female,27,RG279,Salaried,X1,14,No,894547,No,0
HQ6OCAPR,Female,59,RG254,Self_Employed,X2,57,No,1797301,No,0
JLHDNBUG,Male,60,RG268,Other,X3,104,Yes,1681503,No,1
LHCIEDVN,Female,27,RG257,Other,X1,13,No,344430,Yes,0
G9JQ3YXM,Female,29,RG274,Salaried,X1,19,No,621424,No,0
MYQVVJNR,Female,76,RG283,Other,X3,93,,1061778,Yes,1
KYDSJMAF,Male,57,RG268,Self_Employed,X3,61,No,2110626,No,0
8DRVHH8G,Female,44,RG256,Self_Employed,X3,91,No,334159,No,0
JQHOPGIY,Male,37,RG277,Salaried,X1,27,No,403134,No,0
BHQ57HGE,Male,36,RG254,Self_Employed,X2,15,,584792,No,1
NFKTDJEO,Male,33,RG268,Salaried,X2,39,,858271,Yes,1
KWPLQBM5,Male,28,RG275,Other,X1,20,No,803171,No,0
QAEWRMJZ,Male,58,RG273,Self_Employed,X2,32,Yes,1148954,No,0
4KYUQM5T,Male,65,RG284,Other,X3,50,No,842331,Yes,0
QIT5X6XI,Female,43,RG268,Self_Employed,X2,14,Yes,757069,No,1
BMVY9HMH,Male,41,RG273,Salaried,X2,45,,1301794,Yes,1
GRD4ASAB,Female,30,RG254,Other,X1,25,No,1348011,No,0
JHMECDT5,Male,26,RG254,Other,X1,26,No,2106541,No,0
AF6MCWFM,Male,30,RG274,Salaried,X1,26,Yes,571682,Yes,1
ZD7YSCRF,Female,27,RG254,Salaried,X1,26,Yes,480386,No,0
HXSR7NXQ,Male,27,RG254,Salaried,X1,13,No,2824468,No,0
8DRB9MJ7,Male,48,RG284,Self_Employed,X3,117,No,597510,No,0
GWNQOHZS,Male,35,RG261,Salaried,X1,26,No,1646945,No,0
FBTYYHEF,Female,30,RG267,Salaried,X1,19,No,777308,No,0
3WBGKSEZ,Female,49,RG283,Self_Employed,X2,57,Yes,2031478,Yes,0
6PDC2J7Y,Male,40,RG283,Self_Employed,X3,21,No,579924,Yes,0
ASOWTRTQ,Male,71,RG282,Other,X3,80,No,1635980,No,0
RVVH3HJH,Male,55,RG268,Self_Employed,X2,81,No,2073949,No,0
UYQ6AHQP,Female,73,RG284,Other,X3,81,,740969,Yes,1
EJQSWB3E,Female,82,RG268,Other,X2,87,No,825475,Yes,0
59SC4PLK,Male,32,RG254,Salaried,X1,25,No,963843,No,0
Q4DONA6L,Male,45,RG273,Other,X3,73,,254451,Yes,1
RAGPQVIW,Female,41,RG284,Other,X3,21,Yes,446744,Yes,0
HPLUCSBS,Male,44,RG284,Self_Employed,X2,67,Yes,1199853,Yes,0
M6XJVFRF,Female,29,RG265,Other,X1,32,No,328143,No,0
49HD2EFN,Female,30,RG254,Salaried,X1,27,No,1139467,No,0
WAHBZOUQ,Female,42,RG261,Self_Employed,X1,25,No,731037,No,0
XWMQXFTU,Female,54,RG268,Self_Employed,X3,97,Yes,1419710,Yes,1
OKSJNQ2Q,Male,58,RG272,Self_Employed,X3,57,No,777753,Yes,0
FQYJ5WEQ,Female,27,RG268,Other,X1,31,Yes,412701,Yes,0
NKMDPPAX,Male,28,RG251,Salaried,X1,13,No,187086,No,0
TEVZFJZ9,Male,46,RG269,Entrepreneur,X3,14,Yes,658003,No,0
J3KDTBZV,Male,61,RG254,Self_Employed,X3,109,No,1859183,No,0
BADKNR8F,Female,29,RG261,Salaried,X1,26,No,1637724,No,0
EAMNDHZT,Male,27,RG262,Self_Employed,X1,13,No,1829314,Yes,0
CKW8TZSW,Male,59,RG254,Self_Employed,X3,45,,612417,Yes,1
2MRQPWKL,Female,33,RG264,Salaried,X1,13,No,429166,No,0
67JILKEK,Male,28,RG270,Salaried,X1,25,No,606552,No,0
DY5XD7KP,Female,30,RG260,Self_Employed,X1,26,No,651871,No,0
2ANR4UDN,Female,60,RG268,Other,X1,27,Yes,948918,No,0
AYA7AGXV,Male,47,RG254,Self_Employed,X2,33,No,675314,Yes,0
CH3KDRDX,Male,44,RG270,Self_Employed,X3,13,No,481231,Yes,0
MHOTYB3O,Male,49,RG283,Self_Employed,X2,56,,650705,Yes,1
UCCSJGXM,Female,60,RG268,Self_Employed,X3,27,Yes,1209260,Yes,0
ZU3M7VBK,Male,40,RG283,Self_Employed,X2,26,Yes,1258032,No,0
3DLLLZTT,Male,26,RG256,Salaried,X1,27,Yes,682897,No,0
GEDBSPNO,Male,30,RG254,Salaried,X1,27,No,940899,No,0
DZ9WNZEJ,Female,40,RG282,Self_Employed,X2,56,No,761813,Yes,0
H8SSUOLH,Male,78,RG283,Other,X2,92,,1808346,Yes,1
FZUWN4QB,Male,43,RG280,Self_Employed,X3,45,Yes,685664,No,1
HNZJII4C,Male,41,RG268,Self_Employed,X2,26,No,961155,No,0
KK8HKZEZ,Female,51,RG268,Self_Employed,X3,122,Yes,2230188,No,0
JAS9QVTW,Female,27,RG268,Salaried,X1,21,No,6278683,Yes,0
TCZNPN6Z,Male,28,RG281,Salaried,X1,15,No,358545,No,0
86KSFTPL,Female,25,RG270,Salaried,X1,19,No,937214,Yes,0
GZWNW77C,Female,68,RG254,Other,X3,21,No,1476874,Yes,0
6BOBHWF4,Male,57,RG278,Self_Employed,X2,80,Yes,599210,No,0
PDFNBVYL,Male,36,RG270,Other,X1,32,No,1771651,Yes,0
JMXU5DWU,Male,46,RG268,Self_Employed,X2,91,,1346053,Yes,1
DKK33FRN,Male,50,RG283,Self_Employed,X3,91,Yes,1992558,No,1
BYBDRIYT,Female,46,RG276,Self_Employed,X2,81,Yes,694262,No,0
MKDB84R6,Female,83,RG272,Other,X2,73,No,2049305,Yes,0
LGTTAC9H,Female,50,RG268,Other,X2,75,No,957168,Yes,0
QUKLW8UR,Male,51,RG268,Self_Employed,X2,79,No,1388275,Yes,0
HXDKS6AG,Male,46,RG283,Self_Employed,X3,121,Yes,1947070,Yes,0
QAGYQMYH,Female,52,RG283,Self_Employed,X2,56,No,861164,Yes,1
7KPNANHS,Male,31,RG278,Salaried,X1,32,No,363271,No,0
EMVN9YJW,Male,34,RG277,Salaried,X1,13,No,760229,Yes,1
FXEYPQUE,Male,33,RG283,Salaried,X3,20,,1232267,Yes,0
FO4N8AUE,Female,57,RG277,Self_Employed,X3,111,Yes,612916,No,0
NZDGI5CB,Male,39,RG283,Salaried,X2,45,Yes,1383852,Yes,1
AXBUBZA2,Female,84,RG284,Other,X1,32,,1455239,No,1
SFMWRHFS,Male,44,RG268,Self_Employed,X3,87,No,2189471,Yes,0
5WTCQM8T,Male,51,RG269,Self_Employed,X2,15,No,728865,Yes,0
XZWKJXSE,Male,59,RG270,Self_Employed,X3,116,No,687560,Yes,0
XYCQGKBF,Male,42,RG254,Self_Employed,X2,20,No,705618,No,0
5UHQSVBQ,Male,55,RG251,Self_Employed,X3,111,No,309355,Yes,0
RVJ8EHSD,Male,28,RG279,Self_Employed,X1,14,No,1656290,Yes,0
NEQYSKOH,Female,29,RG270,Salaried,X1,33,No,576835,No,0
YJVRXE3J,Male,44,RG268,Self_Employed,X2,73,No,856473,No,0
BFXKUSWU,Male,56,RG270,Self_Employed,X3,116,,490888,Yes,1
O28TZ2PT,Female,26,RG262,Salaried,X1,20,No,1175467,No,0
E5WQQBKA,Male,52,RG277,Self_Employed,X2,92,No,569973,Yes,0
6AIJ3W3H,Female,53,RG283,Self_Employed,X1,55,No,1583950,Yes,0
MLGTNA5P,Male,24,RG274,Salaried,X1,15,No,965391,No,0
25GBTWNE,Male,36,RG276,Other,X2,20,No,1128849,No,0
C7W9XRIA,Male,54,RG257,Self_Employed,X2,27,No,605422,Yes,0
XWVYMHMY,Female,56,RG280,Self_Employed,X3,123,,1195492,Yes,1
N7TQ3KCH,Male,43,RG268,Other,X1,13,Yes,1203075,No,0
KG875MV5,Male,26,RG254,Salaried,X1,26,No,1192333,Yes,1
45TIWGFK,Male,59,RG268,Self_Employed,X2,50,No,1497273,No,0
DGSANBRC,Female,29,RG262,Salaried,X1,26,No,615141,No,0
CUHPBKMB,Female,31,RG281,Salaried,X1,26,No,846576,No,0
H5ZRIMFU,Female,31,RG283,Salaried,X1,15,No,2202456,Yes,0
MUJF6T2Y,Male,33,RG283,Salaried,X1,26,No,693016,No,0
IAV4XNG9,Female,37,RG268,Self_Employed,X2,19,No,738237,Yes,0
JM2PCVDG,Male,30,RG263,Salaried,X1,31,No,938914,No,0
YH2XPQAW,Female,39,RG268,Self_Employed,X3,85,No,876899,No,0
RKBKDSHM,Female,38,RG274,Self_Employed,X1,27,No,552075,No,0
6WMJHGH9,Male,47,RG254,Other,X2,87,Yes,1223500,No,0
YHCCWK5C,Male,61,RG278,Self_Employed,X2,57,No,844307,Yes,0
YUPTTPHK,Male,59,RG274,Self_Employed,X3,27,No,2367159,Yes,0
99VNYGBJ,Female,58,RG284,Self_Employed,X3,115,Yes,950609,Yes,1
LF3T3X7L,Female,49,RG279,Self_Employed,X2,86,,859295,Yes,1
AZXQFDBI,Male,27,RG254,Salaried,X1,19,No,963656,Yes,0
EEL6MZKS,Female,51,RG257,Self_Employed,X3,43,Yes,657220,No,0
LIPZH2S4,Male,32,RG264,Salaried,X1,13,No,473061,No,0
AJ4IWPWP,Male,29,RG254,Salaried,X1,32,Yes,761875,No,0
JTWWLQTE,Male,57,RG251,Self_Employed,X2,80,No,1791890,Yes,0
HSZZ4FDJ,Male,40,RG284,Self_Employed,X2,37,No,1524845,Yes,0
FIXNGXHG,Male,56,RG282,Self_Employed,X2,61,No,574459,Yes,0
5BV3GES6,Female,38,RG280,Salaried,X2,13,,1690733,No,1
HNTKLOT9,Female,32,RG270,Salaried,X1,25,Yes,471299,No,0
E4WT8DYW,Female,30,RG280,Other,X1,26,No,415683,No,0
MW84PPXA,Female,54,RG268,Self_Employed,X2,91,No,1438845,Yes,0
D6B4VHCO,Female,29,RG250,Salaried,X1,20,Yes,502485,No,0
J952LX5P,Male,28,RG270,Self_Employed,X1,19,No,622955,Yes,0
E2DR8B3F,Female,27,RG266,Salaried,X1,27,No,777548,No,0
36ETD8OV,Male,32,RG254,Other,X1,33,Yes,2186427,No,0
HZ5SUAKX,Male,41,RG256,Self_Employed,X3,33,No,596033,Yes,0
FAO2WTQB,Female,27,RG255,Self_Employed,X1,32,No,1025315,No,0
GDXHFRGP,Female,30,RG277,Salaried,X1,33,No,1061236,No,0
JCDJRQB8,Male,46,RG272,Other,X3,50,No,948134,No,0
HW8HSYK3,Female,74,RG268,Other,X3,33,No,5878049,Yes,0
GDZ5GWTZ,Male,42,RG254,Self_Employed,X2,91,No,816174,No,1
2GKAE9Z9,Male,47,RG254,Self_Employed,X3,122,No,1134945,No,0
97UWAML4,Male,57,RG260,Salaried,X2,74,,347393,Yes,1
AUOBQMCN,Female,82,RG283,Other,X3,93,No,1187010,No,0
39G8WRSG,Male,53,RG268,Self_Employed,X3,97,No,817625,Yes,0
G99FXPH4,Female,41,RG281,Self_Employed,X2,14,No,344056,Yes,0
6JX66EZB,Male,44,RG276,Self_Employed,X2,19,Yes,380448,Yes,1
DBHGK8S8,Female,36,RG268,Salaried,X2,31,No,362292,Yes,1
JL6J6TCT,Female,44,RG254,Self_Employed,X3,21,Yes,802343,Yes,0
Q4SMLNEF,Female,28,RG282,Salaried,X1,33,No,829836,No,0
DUVRPHBA,Male,24,RG256,Other,X1,14,No,604692,No,0
6PVV73DD,Female,59,RG268,Other,X2,50,Yes,1597728,No,0
EQZ6XAYP,Female,30,RG251,Self_Employed,X1,33,Yes,456516,No,0
CKFMGDUP,Male,57,RG277,Self_Employed,X3,110,Yes,589856,Yes,1
8SYWZ46N,Male,33,RG284,Salaried,X1,31,No,2476923,Yes,0
HYAF4HF7,Female,29,RG260,Salaried,X1,27,No,889350,No,0
FTGZXSMW,Male,25,RG254,Salaried,X1,25,Yes,1514895,No,1
2385YFEE,Male,28,RG269,Other,X1,31,No,1290046,No,0
BNF8ZGD7,Male,45,RG268,Self_Employed,X3,44,No,848445,Yes,0
MWFHEZ5B,Female,67,RG268,Other,X2,73,No,1664807,Yes,0
6OB4KY6J,Male,33,RG268,Other,X1,25,No,2952343,No,0
NEXRCCVK,Male,56,RG266,Self_Employed,X3,85,No,499770,Yes,1
UTXSIR72,Male,52,RG282,Self_Employed,X3,73,,323942,No,1
RJ6AR4YG,Male,51,RG283,Salaried,X3,87,Yes,1083041,No,1
6QS6MLJ9,Male,34,RG283,Salaried,X4,9,Yes,1496472,No,1
VP83GAVK,Female,51,RG283,Self_Employed,X3,97,No,247535,Yes,0
DL88EJNT,Male,57,RG283,Self_Employed,X2,63,Yes,5950700,No,0
COJX7JA2,Male,50,RG254,Other,X3,45,No,2019160,Yes,1
DAKUO3PF,Male,54,RG283,Self_Employed,X2,61,Yes,936849,No,0
HYZVTVYA,Male,61,RG284,Self_Employed,X1,45,Yes,2601656,No,0
AYBXSLUN,Male,53,RG277,Other,X2,45,Yes,656659,No,0
W4ORA2MV,Male,44,RG263,Self_Employed,X2,50,No,399236,Yes,0
FRFT83JQ,Female,50,RG268,Entrepreneur,X1,44,,2476336,No,1
7VSCS8EX,Female,47,RG268,Self_Employed,X3,99,No,3949713,No,0
XBIZJWPC,Female,36,RG261,Salaried,X1,25,No,1153707,No,0
5ETCKNBV,Male,47,RG284,Self_Employed,X2,99,Yes,1595307,No,1
K4OFW4MH,Male,50,RG272,Salaried,X2,81,,732567,No,1
DUKS89WE,Male,34,RG255,Salaried,X1,32,No,746985,No,0
HL86W8YJ,Male,57,RG283,Other,X2,87,,1074461,No,1
TC8CBESU,Female,29,RG283,Salaried,X1,13,No,2048949,Yes,0
2TW8RFGF,Female,51,RG283,Self_Employed,X3,26,Yes,1662261,Yes,0
G5FWNPOH,Female,27,RG266,Salaried,X1,26,No,251522,No,0
CVK9B97H,Male,53,RG280,Self_Employed,X3,74,No,758440,Yes,0
JFH9PATE,Female,50,RG272,Self_Employed,X2,68,Yes,700047,No,1
ILWVGF8F,Male,47,RG261,Self_Employed,X2,51,Yes,827895,No,0
PUQ8EB6V,Male,74,RG254,Other,X3,92,No,2383571,Yes,0
KZX5BHZS,Male,61,RG283,Self_Employed,X2,115,Yes,1609378,No,0
LDRY9RXT,Male,53,RG277,Self_Employed,X1,15,No,478811,Yes,0
WIEGYJDQ,Male,54,RG253,Other,X2,73,Yes,676177,No,1
MK7NGQX4,Female,42,RG251,Self_Employed,X3,51,No,568309,No,0
L4SKGEQG,Female,31,RG279,Salaried,X1,15,No,503971,No,0
BEPUKMR8,Female,51,RG276,Entrepreneur,X3,57,Yes,1102051,Yes,1
NDCALHUR,Male,27,RG270,Salaried,X1,19,No,728073,No,0
9JIJ7Z7K,Female,60,RG264,Self_Employed,X2,92,Yes,857417,No,1
QGZ8CFGY,Male,46,RG283,Self_Employed,X3,87,Yes,489144,No,1
HBCV5QT8,Female,28,RG268,Salaried,X1,27,No,3123134,No,0
GRPXJJM9,Female,28,RG282,Salaried,X1,31,Yes,668879,No,0
TTL6JNNF,Male,31,RG268,Other,X1,20,No,1776306,Yes,0
HJDGHZ7I,Female,30,RG254,Other,X1,25,No,1230629,No,0
KLVRETES,Male,46,RG276,Self_Employed,X3,37,,922280,Yes,1
Q2ACWEVY,Male,31,RG270,Other,X1,26,No,300081,No,0
VJMIRWEK,Female,76,RG263,Other,X1,19,No,771149,No,0
F5PBMGG7,Female,31,RG272,Salaried,X1,14,No,575910,No,0
IMSGGWDR,Male,29,RG283,Salaried,X1,14,No,1032836,Yes,0
HYJB6TUU,Female,67,RG251,Other,X3,98,No,1273314,Yes,0
YDEEGOHO,Male,63,RG253,Other,X3,15,No,803340,No,0
HT5KWDGQ,Male,55,RG283,Other,X2,61,No,1071364,No,0
AYNJRUBF,Male,73,RG280,Other,X3,85,No,438084,Yes,0
NH62X5ER,Male,46,RG268,Self_Employed,X2,21,No,2113385,Yes,0
KXE6JQ7V,Male,27,RG252,Other,X1,25,No,237069,Yes,0
GDH3WGSN,Male,47,RG253,Self_Employed,X3,99,Yes,557540,Yes,0
5FJMOUTA,Male,27,RG254,Salaried,X1,13,No,1158237,No,0
O3NJJLJP,Male,43,RG261,Self_Employed,X3,75,No,943266,No,0
JIVKZAX7,Male,48,RG254,Self_Employed,X2,92,Yes,815738,No,0
YLYYWAUC,Male,27,RG277,Other,X1,20,No,784401,Yes,0
4OEWDKYJ,Male,27,RG280,Salaried,X1,20,No,292543,No,0
GEOUFPTZ,Female,36,RG284,Self_Employed,X3,39,No,795597,Yes,0
HJFEIUAE,Female,62,RG254,Other,X2,69,Yes,2729727,Yes,1
5FQ5SWM9,Male,48,RG254,Self_Employed,X2,85,No,623364,Yes,1
W9KHEEOJ,Female,29,RG254,Salaried,X1,26,No,1956682,No,0
SD5KZ8PG,Female,53,RG283,Self_Employed,X3,116,Yes,2555270,Yes,1
UCSQPRBU,Male,39,RG277,Other,X3,73,No,266279,No,0
VY9SCKTH,Male,27,RG283,Salaried,X1,15,No,1213888,Yes,0
FSTYAUFT,Male,53,RG252,Self_Employed,X4,15,No,256747,Yes,0
WZWFJWZL,Female,28,RG281,Other,X1,20,No,1006687,Yes,0
BSQ3H8PN,Female,81,RG280,Other,X1,56,No,298185,Yes,0
VGPQTXPD,Female,25,RG268,Salaried,X1,15,No,3850567,No,0
74CO7464,Male,64,RG257,Other,X3,109,,475509,Yes,1
AJTWDF2N,Female,38,RG268,Self_Employed,X3,73,No,958271,Yes,0
7HWEQT58,Male,47,RG279,Self_Employed,X2,20,Yes,500331,No,0
NC43MWQX,Female,41,RG254,Self_Employed,X2,31,No,535575,Yes,0
DBQENEZA,Male,27,RG262,Self_Employed,X1,15,Yes,819218,No,0
YEJ3FOPT,Male,42,RG268,Salaried,X3,121,Yes,2944493,Yes,1
MZEBQQXH,Female,47,RG260,Self_Employed,X3,50,No,578882,No,0
BVEPBTCE,Male,40,RG257,Other,X4,13,Yes,419279,No,0
OAPGCMXZ,Female,31,RG250,Salaried,X1,32,No,1514326,No,1
5SZQJO4P,Male,61,RG251,Self_Employed,X3,99,,268192,No,0
TH6DYCJV,Male,44,RG268,Self_Employed,X2,91,,769529,No,0
ZJ5WN2VJ,Male,29,RG254,Salaried,X1,26,No,1336388,Yes,0
JZUPH3WC,Male,32,RG256,Salaried,X2,27,Yes,459569,Yes,0
MYCX6AG3,Male,65,RG254,Other,X3,116,Yes,1252826,No,1
Q9GRWVER,Female,71,RG268,Other,X3,73,No,1940467,Yes,1
WQZW6YT4,Male,28,RG271,Other,X1,26,No,1955054,No,0
FK8XWMPD,Male,56,RG257,Salaried,X2,15,,908547,No,1
ZNGNIIJX,Male,53,RG254,Entrepreneur,X3,80,Yes,867465,No,0
JYPUOUZO,Female,51,RG254,Self_Employed,X2,19,,651257,Yes,1
TTTVGAHM,Male,56,RG268,Self_Employed,X1,57,Yes,935372,No,0
JBJQ5G2Q,Male,42,RG257,Self_Employed,X2,63,No,757149,No,0
CFGNR6D3,Male,31,RG281,Salaried,X1,26,No,823303,No,0
N8LYBWVA,Male,36,RG274,Salaried,X1,26,Yes,1122913,No,1
PF3YGWSQ,Male,43,RG272,Self_Employed,X1,20,No,814447,No,1
RXFWVVBU,Female,70,RG281,Other,X2,33,No,656837,No,0
MB3UNU3C,Female,31,RG268,Salaried,X1,19,No,631063,Yes,0
6QOGPKXC,Female,27,RG283,Salaried,X1,15,Yes,1745049,No,0
MWRKYCCD,Male,64,RG272,Other,X3,39,No,602352,Yes,0
RNOIPDDY,Male,52,RG254,Entrepreneur,X3,116,,967465,No,1
MBQDE9XV,Female,43,RG280,Other,X3,15,Yes,688361,Yes,1
X2PDFEK4,Male,25,RG250,Salaried,X1,13,Yes,469234,No,0
KWPIJSJG,Male,79,RG284,Other,X2,86,Yes,646326,No,0
7GWBT2JF,Female,27,RG283,Salaried,X1,21,No,2933466,No,0
BTASVN5N,Male,68,RG284,Other,X1,21,Yes,723205,No,0
HJN6OG6T,Female,26,RG252,Salaried,X1,19,No,305999,Yes,0
52BZDZBQ,Male,39,RG283,Other,X1,32,No,1637244,No,0
PRCJKLHN,Male,29,RG262,Other,X1,26,No,714322,Yes,0
NYR9E7J7,Male,46,RG269,Self_Employed,X2,81,,3831583,No,0
NLJ6QQGZ,Male,50,RG268,Entrepreneur,X2,91,,1371018,No,1
HF8PJ5SZ,Female,47,RG283,Self_Employed,X2,49,Yes,1553076,No,0
JCGRLBBV,Male,40,RG264,Self_Employed,X2,25,Yes,490799,No,1
MDHCOHXE,Female,38,RG277,Self_Employed,X3,43,Yes,1956495,Yes,0
UROOAPHF,Male,50,RG254,Other,X1,25,No,1225975,No,0
2RBDBEJR,Female,28,RG273,Other,X1,14,Yes,1327604,No,0
HJJBHWDF,Male,58,RG280,Self_Employed,X2,38,No,437630,No,0
WG5GD3XE,Male,36,RG275,Salaried,X1,33,No,431917,No,0
IKUFVCWZ,Male,52,RG268,Self_Employed,X3,116,No,1518900,Yes,0
KPQRHQ9S,Female,29,RG270,Salaried,X1,21,No,1432659,No,0
CNHC5U4Y,Female,45,RG279,Other,X1,27,No,779675,No,0
4VTSQTDR,Male,41,RG283,Salaried,X2,38,Yes,1750300,Yes,1
NKDAJSAW,Female,33,RG261,Salaried,X1,13,No,886813,No,0
C24LJT3V,Male,38,RG251,Other,X2,50,No,454514,No,0
M4RGYZ2N,Male,39,RG277,Salaried,X2,19,Yes,1059456,No,0
46C8U62O,Male,48,RG284,Self_Employed,X2,44,Yes,864287,No,0
ENKG9VIA,Male,27,RG269,Other,X1,26,No,821327,No,0
EHM32XKA,Female,26,RG282,Salaried,X1,14,No,703918,No,0
CFKJ6PYQ,Male,27,RG267,Salaried,X1,19,Yes,428677,No,0
BTOLGHJ9,Female,42,RG283,Self_Employed,X3,62,Yes,773899,No,0
J93HJSIZ,Male,49,RG277,Self_Employed,X1,25,Yes,576711,Yes,1
24TWNPYJ,Male,45,RG254,Self_Employed,X2,32,No,3540669,Yes,0
ADHB8BVF,Female,30,RG277,Salaried,X1,15,No,460325,No,1
Y3JPBEWC,Male,27,RG268,Salaried,X1,15,No,404318,Yes,0
MEJ4KPWV,Male,49,RG277,Self_Employed,X3,50,No,1057880,Yes,0
FFGTOJSK,Female,59,RG279,Self_Employed,X3,61,No,894957,No,0
BVS6GNHN,Female,61,RG268,Self_Employed,X3,105,No,591458,Yes,0
BAPGQAAR,Female,29,RG277,Salaried,X1,19,No,760549,Yes,0
DG4VKAB6,Female,45,RG276,Other,X3,32,Yes,1015338,No,0
CZA6IGYC,Male,30,RG277,Other,X1,32,No,666013,No,0
HGZDWMJA,Female,56,RG263,Self_Employed,X2,55,No,1031679,Yes,0
QFHD9K8E,Male,61,RG253,Self_Employed,X3,44,,1440901,No,1
WBTUCHAI,Male,69,RG283,Other,X2,81,Yes,1177069,Yes,0
6WQ2VRNL,Male,56,RG283,Self_Employed,X3,13,,1244487,No,1
QSMCFI8Z,Male,29,RG283,Salaried,X1,26,No,1260418,Yes,0
RELRUMMG,Male,40,RG253,Self_Employed,X2,15,Yes,2206167,No,0
MKMDJHIT,Male,26,RG257,Salaried,X1,19,No,1081198,No,0
LAAFATL8,Male,43,RG270,Self_Employed,X2,38,No,870099,Yes,0
RYKQGCLI,Male,47,RG268,Self_Employed,X3,103,,1259430,No,1
F62FU6DQ,Male,53,RG283,Salaried,X1,97,Yes,807141,Yes,1
Q72UYPFD,Male,46,RG254,Salaried,X3,63,,946212,No,1
G3HJQRXB,Female,28,RG280,Other,X3,20,No,646611,No,0
SINZYXCE,Male,43,RG280,Self_Employed,X2,20,Yes,1048464,Yes,1
DYFKEWMD,Male,70,RG284,Other,X3,68,Yes,1876360,Yes,0
